score_num,score,ranking,movie_name
987637,9.6,1,肖申克的救赎
717462,9.5,2,霸王别姬
931434,9.4,3,这个杀手不太冷
792060,9.4,4,阿甘正传
462773,9.5,5,美丽人生
741157,9.2,6,千与千寻
731607,9.2,7,泰坦尼克号
421869,9.4,8,辛德勒的名单
834114,9.3,9,盗梦空间
547004,9.3,10,机器人总动员
644948,9.2,11,海上钢琴师
747546,9.2,12,三傻大闹宝莱坞
513501,9.2,13,忠犬八公的故事
499924,9.2,14,放牛班的春天
545599,9.2,15,大话西游之大圣娶亲
376189,9.2,16,教父
461388,9.1,17,龙猫
515246,9.1,18,楚门的世界
298848,9.2,19,熔炉
293415,9.2,20,乱世佳人
543085,9.2,21,星际穿越
404391,9.1,22,触不可及
445424,9.0,23,无间道
591623,8.9,24,当幸福来敲门
332109,9.1,25,天堂电影院
614843,8.9,26,怦然心动
186684,9.4,27,十二怒汉
427741,9.0,28,搏击俱乐部
627379,9.0,29,少年派的奇幻漂流
308247,9.1,30,指环王3：王者无敌
253307,9.2,31,鬼子来了
356842,9.0,32,蝙蝠侠：黑暗骑士
297724,9.1,33,活着
361459,9.0,34,天空之城
417459,8.9,35,罗马假日
439463,8.9,36,大话西游之月光宝盒
542358,8.9,37,飞屋环游记
564783,9.2,38,疯狂动物城
243326,9.1,39,窃听风暴
291630,9.1,40,两杆大烟枪
295667,9.0,41,飞越疯人院
105800,9.6,42,控方证人
349517,8.9,43,闻香识女人
192837,9.3,44,海豚湾
383097,8.9,45,哈尔的移动城堡
453525,8.8,46,V字仇杀队
229467,9.1,47,辩护人
301681,8.9,48,死亡诗社
202666,9.1,49,教父2
326891,8.9,50,美丽心灵
290181,9.0,51,指环王2：双塔奇兵
324680,8.9,52,指环王1：魔戒再现
403018,8.8,53,情书
217153,9.1,54,饮食男女
187695,9.1,55,美国往事
302637,8.9,56,狮子王
511659,8.7,57,天使爱美丽
215985,9.0,58,钢琴家
461079,8.7,59,七宗罪
311939,8.9,60,被嫌弃的松子的一生
149353,9.2,61,小鞋子
198994,9.1,62,素媛
368020,8.8,63,致命魔术
494927,9.1,64,摔跤吧！爸爸
310354,8.8,65,勇敢的心
246702,8.9,66,音乐之声
514234,8.7,67,剪刀手爱德华
417558,8.7,68,本杰明·巴顿奇事
356998,8.8,69,低俗小说
354700,8.8,70,看不见的客人
375874,8.7,71,西西里的美丽传说
300141,8.8,72,黑客帝国
255765,8.9,73,拯救大兵瑞恩
376011,8.7,74,沉默的羔羊
333378,8.8,75,入殓师
405851,8.7,76,蝴蝶效应
241620,8.9,77,玛丽和马克思
661991,8.7,78,让子弹飞
263433,8.8,79,春光乍泄
108310,9.2,80,大闹天宫
288461,8.8,81,心灵捕手
249352,8.8,82,幽灵公主
286668,8.8,83,阳光灿烂的日子
247758,8.8,84,第六感
182123,8.9,85,末代皇帝
350882,8.7,86,重庆森林
381227,8.6,87,禁闭岛
266548,8.7,88,大鱼
138501,9.0,89,狩猎
333852,8.8,90,布达佩斯大饭店
290928,8.7,91,射雕英雄传之东成西就
243955,8.8,92,甜蜜蜜
337014,8.6,93,致命ID
275725,8.7,94,哈利·波特与魔法石
163999,8.9,95,一一
283864,8.8,96,阳光姐妹淘
337303,8.6,97,断背山
360529,8.7,98,告白
164395,8.9,99,上帝之城
242460,8.7,100,猫鼠游戏
364945,8.6,101,加勒比海盗
94955,9.2,102,摩登时代
553986,8.6,103,阿凡达
156915,8.9,104,穿条纹睡衣的男孩
232744,8.7,105,爱在黎明破晓前
185110,8.8,106,风之谷
376034,8.7,107,消失的爱人
208375,8.7,108,爱在日落黄昏时
177660,8.8,109,侧耳倾听
181251,8.8,110,超脱
267596,8.6,111,倩女幽魂
142328,8.9,112,红辣椒
212778,8.7,113,萤火虫之墓
234455,8.7,114,恐怖直播
298855,8.7,115,驯龙高手
190943,8.7,116,菊次郎的夏天
234208,8.6,117,幸福终点站
318199,8.6,118,岁月神偷
227114,8.7,119,借东西的小人阿莉埃蒂
396233,8.5,120,神偷奶爸
80478,9.2,121,七武士
138683,8.9,122,小森林 夏秋篇
331238,8.5,123,喜剧之王
101509,9.0,124,海洋
327199,8.5,125,真爱至上
218206,8.6,126,杀人回忆
207007,8.7,127,电锯惊魂
187856,8.7,128,谍影重重3
408828,8.5,129,贫民窟的百万富翁
217073,8.6,130,雨人
290438,8.5,131,记忆碎片
260940,8.6,132,东邪西毒
146063,8.8,133,喜宴
252032,8.6,134,怪兽电力公司
384634,8.7,135,疯狂原始人
432638,8.5,136,黑天鹅
152722,8.7,137,燃情岁月
173665,8.7,138,英雄本色
110684,8.9,139,虎口脱险
124564,8.8,140,卢旺达饭店
294101,8.5,141,恋恋笔记本
314231,8.4,142,傲慢与偏见
183834,8.7,143,7号房的礼物
255769,8.5,144,猜火车
133441,8.8,145,魂断蓝桥
199004,8.6,146,海边的曼彻斯特
191494,8.6,147,穿越时空的少女
135612,8.8,148,教父3
284211,8.6,149,哈利·波特与死亡圣器(下)
164869,8.7,150,萤火之森
83866,9.0,151,完美的世界
152230,8.7,152,纵横四海
198341,8.8,153,玩具总动员3
95903,8.9,154,雨中曲
120649,8.9,155,小森林 冬春篇
145969,8.8,156,荒蛮故事
255761,8.5,157,花样年华
94396,8.8,158,二十二
107720,8.8,159,我是山姆
383662,8.6,160,超能陆战队
341524,8.4,161,唐伯虎点秋香
208576,8.6,162,时空恋旅人
195218,8.6,163,人工智能
136425,8.7,164,浪潮
303853,8.6,165,蝙蝠侠：黑暗骑士崛起
280320,8.4,166,冰川时代
284164,8.4,167,香水
284661,8.5,168,朗读者
168708,8.6,169,心迷宫
129005,8.7,170,罗生门
84202,8.9,171,追随
136222,8.7,172,一次别离
178349,8.6,173,撞车
245355,8.6,174,爆裂鼓手
101369,8.8,175,未麻的部屋
132793,8.7,176,可可西里
179189,8.5,177,战争之王
87703,8.8,178,地球上的星星
114507,8.7,179,梦之安魂曲
334892,8.3,180,恐怖游轮
173082,8.6,181,达拉斯买家俱乐部
265968,8.5,182,被解救的姜戈
187476,8.5,183,阿飞正传
109834,8.7,184,牯岭街少年杀人事件
196708,8.5,185,谍影重重
163417,8.5,186,谍影重重2
109477,8.7,187,碧海蓝天
200083,8.5,188,魔女宅急便
323788,8.7,189,血战钢锯岭
85206,8.9,190,惊魂记
61508,9.0,191,忠犬八公物语
305792,8.3,192,秒速5厘米
174549,8.5,193,再次出发之纽约遇见你
226829,8.4,194,青蛇
167836,8.6,195,海盗电台
233535,8.7,196,头脑特工队
82569,8.9,197,哪吒闹海
158585,8.8,198,房间
51729,9.2,199,东京物语
108848,8.7,200,绿里奇迹
106786,8.7,201,末路狂花
144021,8.6,202,终结者2：审判日
144641,8.5,203,勇闯夺命岛
416649,8.3,204,源代码
185291,8.5,205,这个男人来自地球
187890,8.5,206,新龙门客栈
159289,8.5,207,黑客帝国3：矩阵革命
127142,8.6,208,卡萨布兰卡
261128,8.5,209,模仿游戏
129978,8.6,210,荒野生存
218305,8.4,211,变脸
52439,9.1,212,迁徙的鸟
45094,9.2,213,城市之光
155874,8.5,214,E.T. 外星人
188790,8.4,215,美国丽人
188979,8.4,216,发条橙
52265,9.1,217,黄金三镖客
227256,8.4,218,无耻混蛋
470425,8.3,219,初恋这件小事
176353,8.4,220,英国病人
109121,8.6,221,燕尾蝶
119952,8.7,222,一个叫欧维的男人决定去死
118604,8.8,223,爱在午夜降临前
476222,8.4,224,你的名字。
118395,8.6,225,非常嫌疑犯
110490,8.6,226,叫我第一名
238768,8.3,227,穆赫兰道
141702,8.8,228,请以你的名字呼唤我
88820,8.9,229,勇士
187416,8.6,230,无敌破坏王
320374,8.3,231,疯狂的石头
56388,9.0,232,无人知晓
97509,8.6,233,上帝也疯狂
345564,8.3,234,国王的演讲
134154,8.5,235,血钻
